net,length_um
_0126_,603.76
_0159_,602.95
_0495_,602.77
Module2.RegisterFile\[12\]\[2\],601.7
_0135_,601.25
_0221_,600.38
Module2.RegisterFile\[29\]\[2\],600.28
_0022_,598.76
net26,598.7
_0147_,591.66
_0004_,591.46
net37,590.76
_0351_,589.5
Module2.RegisterFile\[11\]\[3\],588.54
_0188_,588.3
_0014_,588.12
_0594_,587.64
net34,587.58
_0616_,586.015
_0293_,585.08
_0375_,584.98
_0184_,584.38
_0534_,584.29
_0148_,583.12
_0586_,582.16
Module2.RegisterFile\[4\]\[1\],581.4
_0168_,579.56
net28,577.74
_0383_,576.42
_0169_,573.74
Module2.RegisterFile\[12\]\[3\],572.81
_0330_,571.69
_0561_,571.65
_0249_,571.48
_0220_,570.16
Module2.RegisterFile\[24\]\[2\],566.455
Module2.RegisterFile\[30\]\[2\],565.26
Module2.RegisterFile\[3\]\[0\],563.7
_0566_,561.22
_0274_,561.21
Module2.RegisterFile\[11\]\[1\],559.8
_0076_,559.32
_0212_,559.16
_0187_,558.5
net2,557.41
Module2.RegisterFile\[25\]\[0\],557.1
_0245_,556.08
_0207_,554.32
Module2.RegisterFile\[16\]\[0\],553.74
_0145_,553.14
Module2.RegisterFile\[24\]\[3\],551.98
Module2.RegisterFile\[19\]\[1\],550.4
Module2.RegisterFile\[1\]\[2\],549.88
_0358_,549.4
_0033_,549.38
_0161_,543.33
_0409_,543.16
_0053_,541.09
_0410_,540.335
_0051_,539.59
_0042_,538.94
Module2.RegisterFile\[30\]\[1\],537.86
_0177_,536.76
_0087_,536.36
Module2.RegisterFile\[2\]\[3\],534.62
_0570_,530.66
_0595_,529.66
Module2.RegisterFile\[15\]\[3\],529.6
net33,528.985
Module2.RegisterFile\[5\]\[1\],528.22
_0311_,526.28
_0163_,525.54
Module2.RegisterFile\[23\]\[2\],524.68
_0057_,524.32
_0120_,523.06
_0183_,523.04
net30,520.915
Module2.RegisterFile\[31\]\[2\],519.34
_0581_,519.205
_0296_,519.13
_0565_,518.49
_0443_,517.9
_0255_,515.74
_0035_,514.88
_0297_,514.64
Module2.RegisterFile\[21\]\[1\],513.8
_0103_,513.72
_0492_,513.395
_0048_,511.46
_0556_,510.68
_0166_,509.02
Module2.RegisterFile\[30\]\[0\],508.66
_0354_,507.64
_0156_,507.14
_0548_,506.84
net32,505.64
_0582_,503.93
_0167_,501.99
_0082_,501.03
_0265_,500.62
_0149_,499.34
_0609_,498.16
Module2.RegisterFile\[3\]\[2\],498.02
_0423_,497.54
Module2.RegisterFile\[14\]\[3\],497.235
_0464_,493.08
_0206_,491.54
Module2.RegisterFile\[29\]\[1\],491
_0143_,490.37
Module2.RegisterFile\[9\]\[3\],490
_0408_,488.88
_0090_,488.82
_0256_,485.9
_0234_,483.98
_0502_,483.8
_0308_,483.73
_0257_,481.26
_0522_,481.04
_0600_,480.94
_0468_,479.76
Module2.RegisterFile\[24\]\[0\],478.16
_0554_,477.78
_0165_,477.62
_0567_,476.73
Module2.RegisterFile\[28\]\[1\],474.52
Module2.RegisterFile\[17\]\[1\],473.14
_0024_,472.35
_0222_,471.25
_0545_,469.485
Module2.RegisterFile\[13\]\[3\],466.56
_0164_,465.44
_0441_,464.47
Module2.RegisterFile\[11\]\[0\],463.92
Module2.RegisterFile\[18\]\[2\],463.385
_0377_,462.8
Module2.RegisterFile\[21\]\[2\],461.68
Module2.RegisterFile\[25\]\[3\],461.65
Module2.RegisterFile\[20\]\[0\],461.35
_0537_,461.105
Module2.RegisterFile\[21\]\[0\],459.1
_0461_,458.54
_0378_,458.51
_0598_,457.26
_0229_,456.53
_0301_,455.84
_0564_,455.06
_0045_,454.94
Module1.outputC\[2\],454.685
_0176_,453.34
_0038_,452.52
_0371_,450.82
_0382_,449.98
_0332_,446.16
_0276_,445.68
Module2.RegisterFile\[7\]\[3\],444.94
_0333_,443.78
Module2.RegisterFile\[2\]\[1\],443.68
_0294_,442.8
_0386_,442.7
_0083_,442.5
_0596_,442.36
_0430_,441.9
_0597_,441.345
_0283_,439.38
_0541_,437.62
_0422_,436.78
_0059_,436.16
_0112_,434.85
_0074_,434.16
_0248_,434.02
_0366_,430.96
_0431_,430.82
_0490_,430.08
_0251_,429.94
_0385_,429.86
_0153_,429.53
Module2.RegisterFile\[5\]\[2\],428.08
_0138_,427.54
_0060_,427.28
_0050_,425.3
Module2.RegisterFile\[25\]\[2\],423.9
_0321_,423.15
_0455_,422.1
clk,417.41
_0208_,416.16
_0348_,415.26
Module2.RegisterFile\[23\]\[1\],414.48
_0258_,413.36
_0607_,412.1
_0125_,411.86
net35,411.71
_0614_,411.37
_0291_,411.12
_0115_,410.62
_0525_,408.24
_0099_,407.98
_0223_,407.02
_0250_,405.9
_0562_,405.78
Module2.RegisterFile\[8\]\[3\],405.32
_0028_,403.5
_0428_,403.18
_0007_,402.74
_0181_,397.82
_0440_,395.2
Module2.RegisterFile\[24\]\[1\],395.06
_0613_,394.53
_0175_,394.21
_0500_,393.78
_0542_,392.4
_0122_,390.3
_0182_,389.92
_0290_,388.37
_0407_,388.16
_0152_,388.12
_0134_,385.745
_0420_,384.04
_0436_,383.19
Module2.RegisterFile\[17\]\[2\],381.28
_0047_,378.16
_0593_,376
Module2.RegisterFile\[23\]\[0\],374.58
_0546_,373.96
_0538_,371.82
Module2.RegisterFile\[18\]\[3\],371.68
_0533_,370.83
_0611_,370.67
_0218_,370.04
Module2.RegisterFile\[0\]\[1\],369.035
_0094_,368.98
_0054_,367.88
_0040_,367.12
_0536_,367.1
_0261_,365.84
_0620_,365.26
_0399_,365.2
clknet_4_5__leaf_clk,361.4
_0069_,361.18
_0252_,361.14
net36,360.9
_0475_,360.4
_0275_,360.02
_0418_,359.98
_0526_,359.88
_0046_,358.24
_0280_,355.015
_0020_,354.18
_0295_,354.08
_0236_,352.72
_0102_,352.54
_0573_,351.22
_0519_,350.52
_0501_,349.58
_0298_,349.44
_0121_,347.88
_0368_,347.82
_0580_,346.42
_0555_,346.28
_0299_,345.78
_0225_,345.605
_0516_,345.34
_0405_,344.45
_0583_,344.18
_0360_,342.78
_0338_,342.14
_0373_,340.61
_0571_,340.48
_0197_,340.16
