net,length_um
_1339_,48.6
_0791_,48.54
_0935_,48.46
alu.ALUResult\[6\],47.92
_1407_,47.86
_0753_,47.82
_1112_,47.76
_0581_,47.73
_0758_,47.54
_0883_,47.5
_0009_,47.47
_1427_,46.64
_0769_,46.52
_0922_,45.76
_1409_,45.76
_0711_,45.66
_0923_,45.14
clknet_4_15_0_clk,45.1
_1012_,45.02
_1061_,44.66
_0614_,44.56
_1444_,44.46
_1287_,44.3
PC\[1\],44.275
_1023_,43.94
_0938_,43.92
_0975_,43.84
PC\[2\],43.72
_1272_,43.58
_0631_,43.085
_0350_,43.08
_0799_,42.75
_0839_,42.58
_0727_,42.54
_1304_,42.24
_0276_,42.1
_1291_,42.06
_1209_,42
_1337_,41.3
_1021_,40.62
_1393_,40.48
_1070_,40.4
_0796_,40.22
_0867_,40.09
_1149_,40.06
_0874_,39.82
_0641_,39.7
_1211_,39.62
_1151_,39.34
_0289_,39.16
_1097_,38.86
_1073_,38.78
_1011_,38.68
_1067_,37.9
_0616_,37.88
_1169_,37.76
_1125_,37.5
_1243_,37.4
_1264_,37.24
_0936_,37.18
_0574_,37.06
_1277_,37.02
_0917_,36.98
_0957_,36.785
_1024_,36.68
_0263_,36.54
_1107_,35.92
seven_seg_conv.temp\[6\],35.86
_0627_,35.8
_1122_,35.8
_1365_,35.58
_0336_,35.56
_1002_,35.56
alu.ALUControl\[1\],35.44
_1006_,35.4
_1371_,35.4
_1147_,34.8
_0694_,34.74
_0845_,34.56
seven_seg_conv.digit_counter\[1\],34.49
_0577_,34.44
_0700_,34.42
_0859_,34.18
_1334_,33.9
_1398_,33.8
_1402_,33.78
_1436_,33.78
_0446_,33.69
_1516_,33.56
_0532_,33.5
_0724_,33.4
_1760_,33.36
_0432_,33.2
_0654_,32.94
_0264_,32.88
_0972_,32.82
_0656_,32.78
_1246_,32.78
_1247_,32.56
_0958_,32.54
_0943_,32.38
_0361_,32.36
_0761_,32.34
_0598_,31.92
_0916_,31.82
_1242_,31.78
_0925_,31.66
seven_seg_conv.digit_counter\[0\],31.655
_1346_,31.36
_0239_,31.005
_0636_,30.98
_0911_,30.96
_1033_,30.94
_1173_,30.9
_0945_,30.82
_0602_,30.62
_0460_,30.36
_0464_,29.76
_1042_,29.72
_0619_,29.52
_1481_,29.02
_1318_,28.98
_1395_,28.98
_0770_,28.82
_0605_,28.66
_0615_,28.66
_0606_,28.48
_1233_,28.4
_0861_,27.98
_0757_,27.92
_1370_,27.84
_0954_,27.82
reg_file.memory\[5\]\[27\],27.72
_0939_,27.58
_0342_,27.52
_0759_,27.48
_1301_,27.48
reg_file.memory\[0\]\[3\],27.48
_0013_,27.46
_0907_,27.46
_1379_,27.34
_1470_,27.14
_0682_,27.12
_0914_,27.02
_1244_,27.02
_1153_,26.99
_0967_,26.98
_0633_,26.84
_1356_,26.74
_0721_,26.64
_0597_,26.6
_1084_,26.46
_0618_,26.38
_0329_,26.26
_0344_,25.8
_1749_,25.78
_1513_,25.5
net6,25.48
seven_seg_conv.digit_counter\[2\],25.36
_1113_,25.2
_1423_,25.18
_0290_,25.1
_1373_,25.1
_0545_,25.04
_0568_,24.94
_0270_,24.9
alu.ALUControl\[2\],24.84
_0481_,24.76
_1408_,24.58
_0879_,24.56
_0745_,24.52
_0416_,24.48
_0952_,24.42
_1466_,24.42
seven_seg_conv.temp\[7\],24.38
_0720_,24.3
_1110_,24.24
_0717_,24.12
_0311_,24.1
clk_div.counter\[6\],24.095
_0292_,23.92
_1288_,23.92
_0722_,23.84
_1364_,23.76
_1377_,23.72
reg_file.memory\[15\]\[2\],23.61
_1759_,23.58
_0522_,23.54
_1468_,23.46
_1493_,23.46
_0658_,23.38
_1119_,23.26
clk_div.counter\[10\],23.24
_0701_,23.2
_0240_,23.12
_1518_,23.06
_1063_,22.88
_1177_,22.88
_0392_,22.8
_1439_,22.72
ctrl_unit.RegWrite,22.72
_1136_,22.62
_0299_,22.6
_0788_,22.52
_1320_,22.46
_0297_,22.44
_0688_,22.34
_1068_,22.34
_0443_,22.26
reg_file.memory\[15\]\[8\],22.26
_0448_,22.2
clk_div.counter\[17\],22.2
_0941_,22.16
_0875_,22.06
_0767_,22
_0494_,21.98
_1422_,21.96
_0609_,21.87
_0408_,21.82
_0354_,21.68
_1486_,21.68
_0424_,21.66
_0901_,21.66
_1341_,21.6
_0291_,21.5
clk_div.counter\[7\],21.44
reg_file.memory\[10\]\[5\],21.405
_0495_,21.38
_0820_,21.36
_0302_,21.24
clk_div.counter\[3\],21.02
_0282_,20.82
_0334_,20.74
_0648_,20.74
_0723_,20.74
_0971_,20.62
_0301_,20.3
_0836_,20.3
_0629_,20.28
_0740_,20.28
_1286_,20.24
_0384_,20.16
_1386_,20.16
_1043_,20.06
_1192_,20.06
net17,20
_0359_,19.9
_0296_,19.87
_0590_,19.86
_0604_,19.84
_0016_,19.835
_0379_,19.83
_0433_,19.82
_0625_,19.82
_0523_,19.78
_0514_,19.7
_1501_,19.6
_0797_,19.52
_1109_,19.5
_1487_,19.5
_1459_,19.4
_0628_,19.38
reg_file.memory\[25\]\[9\],19.36
_1353_,19.34
clk_div.counter\[2\],19.34
_1758_,19.32
seven_seg_conv.temp\[5\],19.32
_0266_,19.28
_0412_,19.28
clk_div.counter\[13\],19.22
_0409_,19.2
_0284_,19.16
reg_file.memory\[15\]\[20\],19.16
_0238_,19.02
_0696_,19
_0410_,18.97
reg_file.memory\[10\]\[25\],18.97
_0569_,18.94
_0588_,18.94
_0450_,18.92
_0435_,18.82
_1463_,18.72
_0343_,18.7
_0527_,18.7
_0313_,18.64
_1469_,18.6
clk_div.counter\[0\],18.52
_0838_,18.48
_0919_,18.44
_0241_,18.36
_1155_,18.36
_0996_,18.34
_1521_,18.32
_0401_,18.26
_1492_,18.23
_1066_,18.16
_1091_,18.105
_0980_,18.1
_1284_,18.1
_1150_,18.08
_1756_,18.06
_0854_,18
clk_div.counter\[1\],17.98
_0773_,17.92
_1035_,17.9
_1421_,17.84
_0959_,17.82
_0634_,17.7
_0303_,17.6
_0610_,17.56
_0440_,17.48
_0277_,17.46
clk_div.counter\[8\],17.46
net11,17.44
_0515_,17.42
_0503_,17.4
_0920_,17.38
_1525_,17.31
_0345_,17.28
_1148_,17.28
_1065_,17.26
_0333_,17.22
_0807_,17.22
_0864_,17.22
_0506_,17.18
_0468_,17.16
_0394_,17.12
clk_div.counter\[16\],17.11
_0353_,17.1
_0452_,17.04
_0483_,17.04
_0540_,16.94
_1478_,16.94
_1222_,16.92
_0268_,16.82
_1485_,16.82
_0589_,16.78
clk_div.counter\[9\],16.74
_0364_,16.7
_0295_,16.62
_1505_,16.61
_1456_,16.6
_0557_,16.58
_1146_,16.56
_0229_,16.545
_0348_,16.48
_0320_,16.4
_0586_,16.4
reg_file.memory\[0\]\[11\],16.4
_0091_,16.365
_0851_,16.3
_1424_,16.3
_0386_,16.28
_0272_,16.26
_0737_,16.26
_1104_,16.26
_1509_,16.24
_0426_,16.22
_1092_,16.22
net4,16.22
_0097_,16.205
_0444_,16.18
_0650_,16.18
_0969_,16.1
_0461_,16.02
_0940_,16.02
_0524_,16
_1347_,15.94
_1162_,15.86
_0962_,15.82
_0951_,15.8
_1597_,15.8
_1600_,15.8
_0905_,15.78
reg_file.memory\[5\]\[12\],15.78
_1188_,15.76
reg_file.memory\[5\]\[22\],15.76
_0880_,15.72
_1303_,15.7
_1374_,15.685
_0271_,15.68
_0501_,15.68
_0517_,15.68
_0538_,15.68
_1363_,15.68
reg_file.memory\[15\]\[0\],15.68
_0555_,15.66
reg_file.memory\[5\]\[24\],15.64
clk_div.counter\[12\],15.6
reg_file.memory\[15\]\[3\],15.48
_0565_,15.44
clk_div.counter\[11\],15.44
_1292_,15.42
_0871_,15.4
reg_file.memory\[15\]\[22\],15.38
_0806_,15.32
_0377_,15.3
_1452_,15.3
_0802_,15.28
_0708_,15.26
reg_file.memory\[15\]\[27\],15.26
_0425_,15.24
_0889_,15.22
_0487_,15.18
_0580_,15.16
_0812_,15.16
reg_file.memory\[0\]\[9\],15.16
_1167_,15.14
_1394_,15.14
reg_file.memory\[5\]\[21\],15.14
_0287_,15.115
_1350_,15.04
reg_file.memory\[25\]\[1\],15.04
_1235_,15.02
_0378_,15.015
_0330_,14.96
_0750_,14.96
_0242_,14.92
_0790_,14.88
_1578_,14.86
_0275_,14.84
_0462_,14.8
_0511_,14.8
clk_div.counter\[5\],14.795
_0034_,14.745
_0607_,14.74
_0611_,14.74
_0600_,14.72
_1142_,14.68
_0318_,14.64
_1433_,14.64
_1382_,14.62
_1187_,14.6
_0695_,14.58
reg_file.memory\[10\]\[22\],14.56
_0535_,14.54
_1326_,14.54
_0530_,14.5
_1166_,14.48
_0374_,14.44
reg_file.memory\[0\]\[27\],14.44
_0257_,14.42
reg_file.memory\[25\]\[2\],14.42
_0576_,14.4
_1442_,14.4
_1184_,14.38
_0371_,14.36
_0486_,14.34
_1174_,14.34
_1250_,14.32
_0382_,14.3
clk_div.counter\[14\],14.28
reg_file.memory\[0\]\[24\],14.28
_0846_,14.24
_0990_,14.22
_0339_,14.2
_0490_,14.2
_0310_,14.18
_0380_,14.14
_1526_,14.1
_0937_,14.06
reg_file.memory\[0\]\[29\],14.06
_0798_,14.02
reg_file.memory\[0\]\[26\],14.02
_0529_,14
_1257_,14
_0673_,13.98
_1130_,13.96
_1529_,13.96
_0754_,13.94
_0904_,13.92
_0978_,13.92
_1224_,13.88
_0399_,13.86
reg_file.memory\[5\]\[9\],13.86
_1381_,13.855
_1273_,13.82
reg_file.memory\[5\]\[30\],13.8
reg_file.memory\[5\]\[2\],13.76
_0886_,13.7
_0493_,13.68
_0543_,13.68
_1397_,13.66
_0814_,13.64
reg_file.memory\[0\]\[25\],13.64
_1607_,13.62
_1366_,13.56
_0417_,13.54
_0734_,13.5
net14,13.5
_0312_,13.48
clk_div.counter\[15\],13.48
reg_file.memory\[5\]\[25\],13.44
_0398_,13.42
_1718_,13.36
_1384_,13.34
_0328_,13.335
_0541_,13.32
_0504_,13.28
_0341_,13.26
_0363_,13.26
_0474_,13.26
_0496_,13.24
_0381_,13.22
_0479_,13.22
reg_file.memory\[0\]\[5\],13.22
_0437_,13.2
_1121_,13.18
reg_file.memory\[0\]\[7\],13.18
_0507_,13.16
_0733_,13.12
_0826_,13.12
_0587_,13.1
_0896_,13.1
_1400_,13.08
_1606_,13.04
_0327_,13.02
reg_file.memory\[10\]\[12\],12.98
_0488_,12.96
seven_seg_conv.temp\[22\],12.96
reg_file.memory\[15\]\[6\],12.94
reg_file.memory\[5\]\[16\],12.94
seven_seg_conv.temp\[19\],12.92
seven_seg_conv.temp\[26\],12.92
_0002_,12.905
_1030_,12.9
reg_file.memory\[5\]\[19\],12.9
_0821_,12.88
_1314_,12.88
_0369_,12.86
_1531_,12.84
_0998_,12.74
_1164_,12.74
reg_file.memory\[10\]\[27\],12.74
_0466_,12.7
reg_file.memory\[15\]\[11\],12.7
_1217_,12.68
_0472_,12.66
_0755_,12.66
reg_file.memory\[10\]\[23\],12.645
_0469_,12.62
_1076_,12.62
_1126_,12.62
_1495_,12.62
_0898_,12.58
_0447_,12.54
_1218_,12.54
reg_file.memory\[15\]\[13\],12.54
_1590_,12.5
_0690_,12.48
_0718_,12.48
_1238_,12.48
_0428_,12.46
_0848_,12.46
_0536_,12.44
_1191_,12.44
_1265_,12.42
_1054_,12.41
_0970_,12.38
_1141_,12.34
_1465_,12.34
reg_file.memory\[0\]\[16\],12.34
_0402_,12.32
_0509_,12.32
_1460_,12.3
reg_file.memory\[25\]\[25\],12.3
clk_div.counter\[18\],12.29
_0248_,12.28
reg_file.memory\[10\]\[24\],12.26
_1293_,12.23
_0438_,12.22
_0281_,12.2
_0803_,12.2
_1120_,12.16
reg_file.memory\[10\]\[4\],12.14
_0551_,12.08
_1404_,12.08
_1711_,12.04
reg_file.memory\[0\]\[2\],12.04
_1488_,12.02
_1050_,11.98
reg_file.memory\[25\]\[31\],11.98
reg_file.memory\[5\]\[15\],11.98
_0999_,11.96
_1599_,11.94
reg_file.memory\[25\]\[11\],11.92
_1254_,11.88
_1269_,11.86
_0458_,11.84
reg_file.memory\[10\]\[26\],11.84
_0247_,11.8
reg_file.memory\[0\]\[31\],11.8
_0321_,11.76
_0620_,11.76
_1267_,11.76
reg_file.memory\[25\]\[30\],11.76
_0376_,11.75
_1544_,11.74
_0626_,11.7
_1064_,11.7
_1171_,11.7
_1504_,11.68
reg_file.memory\[5\]\[18\],11.66
_0324_,11.6
_1221_,11.6
_1236_,11.6
_0763_,11.58
_0892_,11.58
_0842_,11.56
_0884_,11.56
_0453_,11.54
_0965_,11.54
_0562_,11.52
_1524_,11.52
reg_file.memory\[15\]\[21\],11.52
_0429_,11.5
_1499_,11.5
reg_file.memory\[10\]\[10\],11.465
reg_file.memory\[15\]\[12\],11.42
_1105_,11.4
reg_file.memory\[10\]\[11\],11.4
_1563_,11.36
_0465_,11.34
reg_file.memory\[0\]\[4\],11.32
reg_file.memory\[15\]\[28\],11.32
_1702_,11.26
reg_file.memory\[5\]\[5\],11.26
_0113_,11.245
_0372_,11.24
_0373_,11.24
_1252_,11.24
_1705_,11.24
cx[5],11.24
net3,11.24
_0885_,11.2
_1520_,11.2
_0300_,11.18
_0497_,11.16
_1587_,11.16
reg_file.memory\[25\]\[26\],11.16
_0608_,11.12
_0752_,11.12
_0786_,11.12
_1016_,11.12
_0316_,11.1
reg_file.memory\[15\]\[10\],11.06
_0473_,11.04
_0413_,11.02
_0895_,11
_1473_,11
an[6],11
_0741_,10.94
reg_file.memory\[5\]\[13\],10.94
_1027_,10.92
_1323_,10.92
reg_file.memory\[15\]\[14\],10.92
reg_file.memory\[15\]\[18\],10.92
_0436_,10.89
_1081_,10.88
seven_seg_conv.temp\[2\],10.86
_0964_,10.82
reg_file.memory\[25\]\[19\],10.82
_0683_,10.8
_1476_,10.8
clk_div.counter\[4\],10.8
reg_file.memory\[15\]\[23\],10.76
_1202_,10.74
_1583_,10.74
reg_file.memory\[5\]\[29\],10.74
_0388_,10.7
_0858_,10.7
_1127_,10.7
_0942_,10.66
_1477_,10.66
_1594_,10.66
reg_file.memory\[5\]\[10\],10.66
reg_file.memory\[15\]\[26\],10.64
_0283_,10.62
reg_file.memory\[25\]\[4\],10.62
_0505_,10.6
_0944_,10.6
_1029_,10.6
_0265_,10.59
_0309_,10.58
_0676_,10.58
_1020_,10.58
_1743_,10.56
_0567_,10.54
_1376_,10.54
_1328_,10.51
_1417_,10.5
reg_file.memory\[5\]\[6\],10.5
_1310_,10.42
reg_file.memory\[0\]\[30\],10.4
_0988_,10.36
_1527_,10.36
_1646_,10.36
reg_file.memory\[5\]\[3\],10.36
_1420_,10.32
_1438_,10.32
_1517_,10.32
_0273_,10.3
_1281_,10.3
_0547_,10.28
_1392_,10.28
_1445_,10.26
_1451_,10.24
_1692_,10.24
_1139_,10.22
_0482_,10.21
reg_file.memory\[15\]\[15\],10.16
reg_file.memory\[15\]\[30\],10.16
_1429_,10.14
reg_file.memory\[15\]\[16\],10.14
reg_file.memory\[15\]\[31\],10.14
_1362_,10.1
_1721_,10.1
_0498_,10.08
an[0],10.08
an[1],10.08
an[2],10.08
an[3],10.08
an[4],10.08
an[5],10.08
an[7],10.08
_0022_,10.075
_0454_,10.06
reg_file.memory\[15\]\[29\],10.06
_0288_,10.05
_0351_,10.04
_0525_,10
_0981_,9.94
_1745_,9.94
reg_file.memory\[0\]\[20\],9.94
seven_seg_conv.temp\[13\],9.94
_1183_,9.92
_1755_,9.92
_1703_,9.88
_0355_,9.86
_0471_,9.86
_1700_,9.86
clk_div.counter\[19\],9.86
reg_file.memory\[0\]\[10\],9.86
_0040_,9.845
reg_file.memory\[5\]\[26\],9.84
_0434_,9.82
_0442_,9.8
_1418_,9.8
_0314_,9.78
_1210_,9.78
_1554_,9.76
_1079_,9.74
_1324_,9.715
reg_file.memory\[0\]\[0\],9.7
reg_file.memory\[0\]\[8\],9.7
_1403_,9.68
_1539_,9.68
reg_file.memory\[5\]\[8\],9.68
_0304_,9.66
_0973_,9.62
reg_file.memory\[25\]\[14\],9.58
reg_file.memory\[10\]\[19\],9.56
_0680_,9.52
_0932_,9.52
reg_file.memory\[25\]\[10\],9.52
_1593_,9.48
_0489_,9.46
_1484_,9.44
_1754_,9.44
_1108_,9.42
_1589_,9.42
_1613_,9.42
_0071_,9.405
_0832_,9.4
_0172_,9.385
_0502_,9.38
reg_file.memory\[10\]\[29\],9.38
_0021_,9.365
_0405_,9.36
_0556_,9.36
_1058_,9.36
_1684_,9.36
reg_file.memory\[0\]\[18\],9.36
_0534_,9.34
_0823_,9.34
_1598_,9.32
reg_file.memory\[5\]\[17\],9.29
_0475_,9.28
_1056_,9.28
_0139_,9.275
reg_file.memory\[15\]\[7\],9.26
_0736_,9.24
_1389_,9.24
seven_seg_conv.temp\[14\],9.24
seven_seg_conv.temp\[15\],9.24
_0104_,9.225
_0197_,9.22
_1357_,9.22
reg_file.memory\[5\]\[20\],9.22
_0484_,9.16
_0366_,9.12
_1239_,9.12
reg_file.memory\[25\]\[18\],9.12
_0340_,9.085
_0768_,9.08
_1747_,9.06
_0322_,9.02
_1568_,9.02
_1605_,9.02
reg_file.memory\[25\]\[17\],9.02
_0476_,9
_1426_,9
_1480_,8.98
_0491_,8.96
_1232_,8.96
_1701_,8.96
_0008_,8.945
_0088_,8.945
_0176_,8.945
_1479_,8.94
_0308_,8.9
_1653_,8.9
_1683_,8.9
reg_file.memory\[5\]\[23\],8.9
_0385_,8.88
_1659_,8.88
_0393_,8.86
_1446_,8.86
_0550_,8.82
_0747_,8.8
_1708_,8.8
seven_seg_conv.temp\[18\],8.8
reg_file.memory\[5\]\[14\],8.795
_0286_,8.78
reg_file.memory\[10\]\[20\],8.78
seven_seg_conv.temp\[17\],8.78
seven_seg_conv.temp\[3\],8.76
_0193_,8.725
_1608_,8.72
_0561_,8.66
_1049_,8.66
_1344_,8.66
_1448_,8.66
reg_file.memory\[25\]\[16\],8.66
reg_file.memory\[5\]\[28\],8.66
_1138_,8.62
_1510_,8.62
_0274_,8.6
_0961_,8.6
_0500_,8.59
_0800_,8.58
_0039_,8.565
_1549_,8.56
_1609_,8.56
_1704_,8.56
reg_file.memory\[25\]\[24\],8.56
reg_file.memory\[25\]\[5\],8.56
_0533_,8.54
_1443_,8.52
_1674_,8.52
reg_file.memory\[10\]\[30\],8.51
_1454_,8.5
cx[7],8.5
reg_file.memory\[25\]\[6\],8.48
seven_seg_conv.temp\[12\],8.46
_0599_,8.44
seven_seg_conv.temp\[1\],8.44
_1588_,8.42
reg_file.memory\[10\]\[2\],8.405
_0827_,8.4
_1322_,8.4
_1579_,8.4
_1693_,8.4
_1740_,8.4
_1644_,8.36
_0463_,8.34
_0707_,8.34
_1082_,8.34
_1156_,8.34
_0347_,8.32
_1102_,8.32
reg_file.memory\[0\]\[21\],8.32
_0111_,8.305
_0181_,8.305
_0365_,8.3
_1512_,8.3
_0811_,8.24
_0794_,8.22
_1428_,8.22
_0478_,8.2
_0036_,8.115
reg_file.memory\[10\]\[9\],8.105
_0427_,8.1
_1581_,8.1
reg_file.memory\[25\]\[22\],8.1
_0352_,8.08
reg_file.memory\[10\]\[14\],8.08
reg_file.memory\[10\]\[21\],8.08
reg_file.memory\[10\]\[7\],8.08
reg_file.memory\[10\]\[1\],8.065
_0912_,8.06
_1367_,8.06
_1628_,8.06
_1315_,8.04
cx[1],8.04
cx[2],8.04
cx[3],8.04
cx[4],8.04
cx[6],8.04
net18,8.04
_0144_,8.035
_1279_,8.02
reg_file.memory\[15\]\[19\],8.02
reg_file.memory\[15\]\[4\],8.02
seven_seg_conv.temp\[20\],8.02
_1220_,8
_0367_,7.98
_0949_,7.98
_1631_,7.98
reg_file.memory\[0\]\[17\],7.98
reg_file.memory\[5\]\[0\],7.98
seven_seg_conv.temp\[27\],7.98
_1405_,7.96
_0226_,7.945
_0508_,7.94
_0520_,7.94
_1654_,7.94
_1742_,7.94
_0704_,7.9
_0792_,7.88
_1268_,7.88
_0120_,7.855
_0182_,7.815
_0026_,7.805
seven_seg_conv.temp\[4\],7.78
_0930_,7.76
_0420_,7.74
_0470_,7.74
_0492_,7.74
_0512_,7.74
_1025_,7.74
reg_file.memory\[10\]\[13\],7.74
reg_file.memory\[15\]\[1\],7.74
_1312_,7.7
_0130_,7.685
_1685_,7.68
_1100_,7.66
_1159_,7.66
reg_file.memory\[15\]\[24\],7.64
_0778_,7.615
reg_file.memory\[10\]\[0\],7.605
_0305_,7.6
_1689_,7.6
_1240_,7.58
reg_file.memory\[10\]\[31\],7.58
_0066_,7.565
_0831_,7.56
_1057_,7.56
_1181_,7.56
reg_file.memory\[0\]\[1\],7.54
_0307_,7.52
_0516_,7.52
_1498_,7.52
_1538_,7.52
reg_file.memory\[5\]\[7\],7.52
_0170_,7.505
seven_seg_conv.current_digit\[1\],7.5
_0703_,7.48
_1280_,7.46
reg_file.memory\[5\]\[11\],7.46
_0164_,7.42
_0744_,7.42
_1412_,7.42
net12,7.42
_1503_,7.4
reg_file.memory\[0\]\[13\],7.4
reg_file.memory\[0\]\[19\],7.4
_0145_,7.345
reg_file.memory\[25\]\[8\],7.32
_0099_,7.305
_0368_,7.3
_0449_,7.28
_1185_,7.28
_1709_,7.22
_0019_,7.18
_0387_,7.18
_0418_,7.18
_1391_,7.18
_1675_,7.18
reg_file.memory\[25\]\[15\],7.18
reg_file.memory\[25\]\[27\],7.18
_0801_,7.16
_0423_,7.12
_0173_,7.105
_0404_,7.1
_1095_,7.1
_1540_,7.1
reg_file.memory\[0\]\[15\],7.1
reg_file.memory\[25\]\[23\],7.1
_0897_,7.08
reg_file.memory\[10\]\[17\],7.075
