net,length_um
clk_div.slow_clk,544.09
clknet_0_clk,381.51
_0007_,350.58
_1489_,295.08
_0873_,277.29
_0719_,268.04
_0661_,263.14
_0921_,258.94
_0679_,256.38
_1753_,255.91
seven_seg_conv.digit_counter\[3\],255.61
_0544_,248.81
_1096_,244.58
net2,231.59
_0888_,230.6
_0749_,229.65
_0789_,229.65
_0728_,227.69
_1545_,226.02
_0678_,224.48
_0593_,222.815
_0585_,217.28
_1572_,216.88
_1676_,215.52
_0579_,213.72
_0592_,213.5
_0968_,210.76
_0578_,209.42
_0698_,204.69
_0746_,203.58
_0714_,199.86
_1640_,199.68
_0725_,196.85
_0910_,195.22
_1573_,193.76
_0279_,192.38
_0766_,191.16
_1712_,189.35
_0777_,184.62
_0974_,183.58
_0686_,183.26
_0748_,183.03
_0868_,179.52
_0863_,178.61
_0866_,175.485
_1663_,175.27
_0906_,173.72
alu.ALUResult\[24\],173.57
_0685_,172.57
_0660_,172.09
_0659_,170.63
_0931_,164.275
_1118_,163.58
_0934_,161.72
_0729_,159.78
_1543_,159.62
_0663_,159.28
alu.ALUResult\[23\],156.56
alu.ALUResult\[3\],155.06
net1,151.06
_0594_,150.24
alu.ALUResult\[25\],149.68
_0860_,149.36
_0699_,148.66
_0870_,148.315
_0726_,148.16
clk,147.88
clknet_4_2_0_clk,146.64
_0665_,146.56
_0976_,146.15
_0983_,145.67
alu.ALUResult\[27\],145.42
_0843_,144.8
_0583_,144.54
_1641_,143.2
_0837_,141.08
_1083_,140.18
_1713_,139.02
_0677_,138.94
_0872_,137.74
_0841_,136.27
alu.ALUResult\[28\],135.53
_0771_,135.17
_0782_,135.15
_1090_,134.8
_0668_,134.08
alu.ALUResult\[0\],133.6
_0669_,133.07
_0672_,132.42
_0671_,132.06
_0956_,131.64
alu.ALUResult\[2\],131.48
_1258_,129.22
_1534_,128.76
alu.ALUResult\[9\],127.18
_0783_,126.915
_1677_,126.27
_0784_,126.26
alu.ALUResult\[1\],125.3
_1735_,125.28
_1134_,123.475
_0822_,123.05
_1088_,123
net10,122.66
_0877_,122.38
alu.ALUResult\[26\],121.02
_0847_,120.3
_0666_,119.66
_0595_,119.64
_1751_,119.36
_1018_,119.02
_1584_,118.72
_0929_,118.695
_0739_,118.63
_1017_,117.64
clknet_4_11_0_clk,117.6
_0765_,117.09
_1214_,116.7
_0785_,116.465
clknet_4_10_0_clk,115.78
_0781_,115.21
_1688_,114.2
_0706_,113.82
alu.ALUResult\[22\],110.9
_1261_,110.39
_1652_,109.3
_1015_,108.1
_0664_,107.26
_1699_,107.16
_0852_,107
_0977_,106.68
alu.ALUResult\[5\],106.32
_0603_,106.17
_0681_,103.84
clknet_4_12_0_clk,103.6
_1072_,102.84
_1194_,102.54
_0751_,102.14
alu.ALUResult\[29\],101.96
_0716_,101.8
_1724_,99.16
_0824_,99.08
_0691_,98.7
_0674_,98.66
_0817_,98.5
_0855_,98.1
_1316_,97.82
clknet_4_8_0_clk,97.54
_1259_,97.48
clknet_4_0_0_clk,97.28
_0993_,97.12
_0813_,96.79
_0743_,95.94
_0984_,94.76
alu.ALUResult\[30\],94.14
_1036_,93.84
_0772_,92.8
_0833_,92.74
_1752_,92.44
_1213_,91.06
_1256_,90.9
_0651_,90.6
alu.ALUResult\[11\],90.46
_0645_,90.34
_0986_,90.16
_1123_,89.02
clknet_4_7_0_clk,88.235
alu.ALUResult\[20\],88.16
_1175_,87.48
_0689_,86.52
_1039_,86.4
_0780_,85.56
_0731_,84.92
_1115_,84.46
_0584_,84.44
_1497_,84.26
_1106_,84.03
clknet_4_3_0_clk,83.38
_1325_,82.9
alu.ALUResult\[10\],82.25
_1163_,82.225
_1038_,82.16
_1348_,81.89
alu.ALUResult\[19\],81.72
_0828_,81.58
_0787_,81.535
_0702_,81.32
_1041_,81.305
alu.ALUResult\[18\],81.25
_0638_,81.08
_0902_,79.7
_1094_,79.44
_0612_,78.53
_0649_,78.48
_1595_,78.46
_0776_,78.45
clknet_4_6_0_clk,78.09
clknet_4_1_0_clk,77.54
clknet_4_5_0_clk,77.08
_0623_,76.98
clknet_4_13_0_clk,76.78
net9,75.38
clknet_4_4_0_clk,75.22
_0869_,75.18
_0639_,74.5
_0621_,74.4
_1117_,74.22
alu.ALUResult\[8\],73.88
_0891_,72.7
_0909_,72.5
_0591_,72.36
_1044_,72.1
alu.ALUResult\[12\],71.96
_0808_,71.64
_0712_,70.84
_0697_,70.62
_1227_,70.48
_0005_,70.245
alu.ALUResult\[21\],69.34
_0805_,68.92
_1013_,68.6
_1170_,68.5
_1336_,67.64
_0582_,67.44
clknet_4_14_0_clk,66.7
_0011_,66.685
alu.ALUResult\[4\],66.16
_1161_,65.38
alu.ALUResult\[15\],65.14
_0775_,64.82
_0840_,64.56
_0862_,64.4
_0735_,64.04
_0992_,63.81
_1087_,63.42
_0006_,63.085
_1375_,62.72
_0989_,61.3
_1225_,61.21
_1093_,61.12
_0834_,61.08
_1305_,60.7
_0850_,60.66
alu.ALUResult\[13\],60.41
net8,60.12
clknet_4_9_0_clk,59.98
_1274_,58.74
_1111_,58.7
alu.ALUResult\[14\],58.58
_0762_,57.92
_0647_,57.76
alu.ALUResult\[31\],57.44
alu.ALUResult\[17\],57.42
_0829_,57.38
_0269_,57.36
_1085_,56.93
_0662_,56.6
_0774_,56.16
_1308_,56.06
_1053_,55.26
alu.ALUResult\[16\],55.26
_0004_,55.105
_0667_,54.77
PC\[0\],54.72
alu.ALUControl\[0\],54.6
_1249_,54.58
_1411_,54.34
_1168_,53.72
_0853_,53.56
_0012_,53.38
_0955_,53.3
_0657_,52.92
_0985_,52.84
_1410_,52.64
_0670_,52.38
_0903_,52.18
_0010_,52.1
_1004_,51.86
_1116_,51.52
_1319_,51.19
_1199_,50.98
_1195_,50.8
_0643_,50.74
net7,50.72
_1228_,50.34
_0899_,50.16
alu.ALUResult\[7\],49.72
_0575_,49.56
_1750_,49.24
_0252_,48.95
_1416_,48.92
