net,length_um
display_out.in\[1\],676.48
display_out.in\[2\],665.16
display_out.in\[3\],631.52
_04_,593.34
net8,487.72
_05_,484.64
net1,475.52
_03_,405.86
net5,393.9
display_out.in\[0\],352.88
net6,348.3
net7,326.3
_07_,310.6
net4,307.78
clknet_1_0__leaf_clk,306.1
_09_,304.78
_18_,279.92
_17_,274.2
net3,271.54
net2,240.98
_19_,235.44
_12_,233.725
clk,218.67
_00_,207.66
_08_,201.82
_16_,200.455
clknet_1_1__leaf_clk,195.78
_06_,144.56
_10_,130.94
_14_,123.78
_11_,112.22
clknet_0_clk,107.52
_02_,106.42
_13_,92.6
_01_,75.8
_15_,51.14
rst,6.77
out[0],5.29
out[1],5.29
out[2],5.29
out[4],5.29
out[6],5.29
out[3],3.93
out[5],3.93
